pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,2,275,40.303,35.130526545454565,34.7051,39.5736,40.303,33.339,17050,0,0,0,4735,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,3,275,57.0146,36.892810545454545,34.077,55.3546,57.0146,33.331,17050,138,0,0,5713,138,0,0,0.8093841642228738,0.0,0.8093841642228738,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,250000,3,275,38.9541,34.78597454545454,34.663,37.0298,38.9541,33.663,17050,0,0,0,4678,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,3,275,38.643,34.839376727272715,34.6056,37.979,38.643,33.339,17050,0,0,0,4707,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,4,275,73.7474,38.755633090909065,34.0514,72.7514,73.7474,31.671,17050,465,0,0,6415,465,0,0,2.727272727272727,0.0,2.727272727272727,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,250000,4,275,37.6744,34.846487999999994,34.6662,36.9296,37.6744,33.663,17050,0,0,0,4690,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,4,275,43.5883,35.51047745454547,34.659,43.1861,43.5883,33.335,17050,0,0,0,4759,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,5,275,55.0829,36.86737272727272,33.995,54.4189,55.0829,31.7222,17050,218,0,0,5877,218,0,0,1.278592375366569,0.0,1.278592375366569,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,250000,5,275,37.3544,34.72060618181817,34.6056,37.0043,37.3544,33.667,17050,0,0,0,4688,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,5,275,40.5696,34.93521454545452,34.6056,40.1019,40.5696,33.335,17050,0,0,0,4716,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,1,275,480.814,203.8952290909091,177.186,368.109,480.814,175.02,134750,458,0,0,50751,458,0,0,0.3398886827458256,0.0,0.3398886827458256,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,1,275,190.043,177.87995272727264,177.378,186.995,190.043,176.434,134750,0,0,0,34575,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,2000000,1,275,182.898,178.05091999999996,177.85,182.666,182.898,176.19,134750,0,0,0,36267,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,2,275,356.318,213.99994181818184,178.178,347.258,356.318,174.092,134750,590,0,0,56609,590,0,0,0.437847866419295,0.0,0.437847866419295,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,2,275,188.685,178.04449090909117,177.518,186.829,188.685,176.19,134750,0,0,0,34870,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,2000000,2,275,184.386,178.3692109090908,178.182,183.5,184.386,175.717,134750,0,0,0,37963,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,3,275,490.512,205.06599272727274,177.496,395.6,490.512,175.522,134750,489,0,0,50861,489,0,0,0.3628942486085343,0.0,0.3628942486085343,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,3,275,187.995,177.92118545454554,177.39,186.06,187.995,176.36,134750,0,0,0,34637,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,2000000,3,275,186.506,178.16203636363647,177.838,185.151,186.506,175.858,134750,0,0,0,36782,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,4,275,511.627,222.00121818181816,177.182,504.625,511.627,173.862,134750,891,0,0,55586,891,0,0,0.6612244897959184,0.0,0.6612244897959184,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,4,275,187.12,178.16922909090906,177.454,185.71,187.12,176.483,134750,0,0,0,35028,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,2000000,4,275,188.361,179.077789090909,177.846,186.933,188.361,175.86,134750,80,0,0,37209,80,0,0,0.059369202226345084,0.0,0.059369202226345084,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,2000000,5,275,354.43,201.5131890909092,176.878,349.319,354.43,174.456,134750,443,0,0,49986,443,0,0,0.3287569573283859,0.0,0.3287569573283859,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,2000000,5,275,186.855,177.86807636363636,177.424,185.322,186.855,176.211,134750,0,0,0,34657,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,2000000,5,275,185.263,177.9803527272727,177.85,182.276,185.263,175.872,134750,0,0,0,36907,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,5000000,1,275,1213.97,490.0675490909091,422.249,882.447,1213.97,418.968,336600,458,0,0,132013,458,0,0,0.13606654783125371,0.0,0.13606654783125371,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,5000000,1,275,448.277,422.66254909090895,421.812,441.088,448.277,420.192,336600,0,0,0,86777,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,5000000,1,275,432.634,422.241541818182,421.839,432.211,432.634,419.954,336600,0,0,0,89862,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,5000000,2,275,852.702,514.8793090909086,423.328,848.373,852.702,417.62,336600,651,0,0,147656,651,0,0,0.19340463458110516,0.0,0.19340463458110516,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,5000000,2,275,443.948,423.01965818181804,421.963,440.602,443.948,420.276,336600,0,0,0,87676,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.5 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,5000000,2,275,440.153,422.9024654545452,422.354,433.956,440.153,419.616,336600,0,0,0,91858,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,5000000,3,275,1234.73,491.8840654545454,422.611,1092.61,1234.73,419.28,336600,522,0,0,131997,522,0,0,0.15508021390374332,0.0,0.15508021390374332,0.0
