pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,1,275,54.7406,37.00596945454544,34.0462,53.7907,54.7406,31.7171,17050,212,0,0,5914,212,0,0,1.2434017595307918,0.0,1.2434017595307918,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,1,275,39.2656,36.686925454545474,36.6352,38.6016,39.2656,35.3658,17050,0,0,0,4897,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,1,275,36.5976,34.49193345454545,34.3362,36.0349,36.5976,33.663,17050,0,0,0,4676,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,1,275,39.2416,34.80093236363638,34.339,38.9096,39.2416,33.335,17050,0,0,0,4701,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,2,275,54.3933,38.20629163636358,34.659,53.3882,54.3933,31.671,17050,289,0,0,6421,289,0,0,1.6950146627565983,0.0,1.6950146627565983,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,2,275,39.9176,36.643528363636364,36.637,39.2536,39.9176,35.3794,17050,0,0,0,4891,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,2,275,37.5936,34.71229927272724,34.3925,37.0597,37.5936,33.3874,17050,0,0,0,4675,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,2,275,39.307,35.08817563636364,34.671,39.0405,39.307,33.347,17050,0,0,0,4714,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,3,275,56.6723,36.85141636363634,34.0002,55.7418,56.6723,33.331,17050,138,0,0,5723,138,0,0,0.8093841642228738,0.0,0.8093841642228738,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,3,275,40.979,36.66874363636366,36.6301,38.7085,40.979,35.6523,17050,0,0,0,4896,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,3,275,36.5976,34.526590545454525,34.331,36.305,36.5976,33.3618,17050,0,0,0,4675,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,3,275,37.9136,34.643843999999966,34.5936,37.4459,37.9136,33.335,17050,0,0,0,4690,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,4,275,73.7474,38.878264727272715,34.0605,73.3323,73.7474,31.671,17050,460,0,0,6452,460,0,0,2.697947214076246,0.0,2.697947214076246,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,4,275,41.5896,36.865246545454546,36.663,41.1907,41.5896,34.991,17050,0,0,0,4919,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,4,275,36.9336,34.5660018181818,34.339,36.6381,36.9336,33.376,17050,0,0,0,4676,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,4,275,43.623,35.594661818181805,34.6056,43.1554,43.623,33.331,17050,0,0,0,4749,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,250000,5,275,54.4138,36.79562654545454,33.995,54.0163,54.4138,31.7222,17050,209,0,0,5837,209,0,0,1.2258064516129032,0.0,1.2258064516129032,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,250000,5,275,40.2496,36.67761418181822,36.651,38.2576,40.2496,35.6136,17050,0,0,0,4886,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,250000,5,275,36.6272,34.51929199999998,34.331,36.6016,36.6272,33.335,17050,0,0,0,4675,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,250000,5,275,36.983,34.58099818181818,34.3322,36.6562,36.983,33.335,17050,0,0,0,4696,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,1,275,105.471,60.99974181818179,54.4712,95.924,105.471,52.1165,33825,432,0,0,12447,432,0,0,1.2771618625277161,0.0,1.2771618625277161,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,500000,1,275,61.9968,57.81391418181818,57.705,61.1896,61.9968,55.9824,33825,0,0,0,10146,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,500000,1,275,56.9714,54.97926181818182,54.7816,56.8496,56.9714,53.9794,33825,0,0,0,8871,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,500000,1,275,59.4936,55.80136690909093,55.5096,59.1616,59.4936,53.9754,33825,0,0,0,9055,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,2,275,97.0765,63.50188836363635,55.3034,95.2227,97.0765,51.9834,33825,552,0,0,14065,552,0,0,1.6319290465631928,0.0,1.6319290465631928,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,500000,2,275,63.1576,57.9254538181818,57.9014,61.2877,63.1576,56.233,33825,0,0,0,10241,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,500000,2,275,57.1856,55.01015745454549,54.8616,56.8456,57.1856,53.9794,33825,0,0,0,8890,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,500000,2,275,63.0651,56.74889490909092,55.711,62.7784,63.0651,53.6594,33825,0,0,0,9175,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,3,275,116.488,60.82898545454546,54.636,94.3189,116.488,53.6434,33825,429,0,0,12391,429,0,0,1.2682926829268293,0.0,1.2682926829268293,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,500000,3,275,60.1598,57.803262545454544,57.713,59.8376,60.1598,56.2994,33825,0,0,0,10224,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,500000,3,275,57.6394,55.02954945454547,54.8986,57.1816,57.6394,53.9754,33825,0,0,0,8871,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,500000,3,275,60.4896,55.93692872727275,55.5096,60.2834,60.4896,53.9794,33825,0,0,0,9046,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,4,275,140.395,64.76001927272723,54.5776,131.493,140.395,51.9834,33825,816,0,0,13807,816,0,0,2.412416851441242,0.0,2.412416851441242,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,500000,4,275,65.2574,58.04722909090908,57.8787,63.1346,65.2574,55.9714,33825,0,0,0,10224,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,500000,4,275,59.8376,55.111064363636416,54.9765,57.4864,59.8376,53.8536,33825,0,0,0,8872,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 0.5 -reps_explore_prob 70,0.25,500000,4,275,67.8448,57.2934650909091,55.5216,67.2261,67.8448,53.9754,33825,26,0,0,9385,26,0,0,0.07686622320768663,0.0,0.07686622320768663,0.0
tornado,1100,m,fpar,fpar,oblivious,-threshold 20750 -disable_hop_rtt_normalization,0.25,500000,5,275,97.0622,60.56861854545452,54.4098,94.9496,97.0622,52.1114,33825,407,0,0,12278,407,0,0,1.2032520325203253,0.0,1.2032520325203253,0.0
tornado,1100,m,reps_uniform_draws,reps_dfp,reps,-dfp_low_uniform,0.25,500000,5,275,68.5954,57.9108669090909,57.6576,67.4736,68.5954,55.9061,33825,0,0,0,10251,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_share,reps_dfp,reps,,0.25,500000,5,275,56.5176,54.92197600000002,54.7691,56.3085,56.5176,53.9754,33825,0,0,0,8870,0,0,0,0.0,0.0,0.0,0.0
