warmup,explore_prob,pattern,load,flowsize,mean_delta_pct,p99_delta_pct,rtx_pct
0.5,20,permutation_random,0.7,2000000,-4.737,-6.170,0.164
0.5,20,permutation_random,0.8,100000,-4.197,-3.073,0.000
0.5,20,permutation_random,0.8,2000000,-4.371,-6.260,0.332
0.5,20,permutation_random,0.9,100000,-4.535,-5.001,0.000
0.5,20,permutation_random,0.9,2000000,-3.266,-3.506,0.491
0.5,40,tornado,0.25,100000,-0.890,-1.397,0.000
0.5,40,tornado,0.25,2000000,2.213,2.316,0.220
0.5,40,tornado,0.5,100000,1.569,2.713,0.000
0.5,40,tornado,0.5,2000000,8.342,11.925,2.633
0.5,40,tornado,0.75,100000,1.021,1.801,0.000
0.5,40,tornado,0.75,2000000,2.889,-11.741,3.579
0.5,40,tornado,1.0,100000,0.372,2.360,0.000
0.5,40,tornado,1.0,2000000,-4.651,-4.302,3.822
0.5,40,permutation_random,0.6,100000,-2.310,-3.359,0.000
0.5,40,permutation_random,0.6,2000000,-5.580,-4.707,0.008
0.5,40,permutation_random,0.7,100000,-2.232,0.946,0.000
0.5,40,permutation_random,0.7,2000000,-4.323,-6.169,0.166
0.5,40,permutation_random,0.8,100000,-2.773,-0.637,0.000
0.5,40,permutation_random,0.8,2000000,-3.090,-4.015,0.330
0.5,40,permutation_random,0.9,100000,-2.863,-3.376,0.000
0.5,40,permutation_random,0.9,2000000,-2.372,-1.029,0.501
0.5,70,tornado,0.25,100000,-0.848,-0.502,0.000
0.5,70,tornado,0.25,2000000,-0.052,-1.578,0.000
0.5,70,tornado,0.5,100000,-0.869,0.148,0.000
0.5,70,tornado,0.5,2000000,2.805,4.614,0.423
0.5,70,tornado,0.75,100000,-1.940,-2.598,0.000
0.5,70,tornado,0.75,2000000,0.361,1.230,1.498
0.5,70,tornado,1.0,100000,-3.096,-1.530,0.000
0.5,70,tornado,1.0,2000000,-3.288,-0.513,2.142
0.5,70,permutation_random,0.6,100000,-0.865,-2.006,0.000
0.5,70,permutation_random,0.6,2000000,-3.389,-2.348,0.017
0.5,70,permutation_random,0.7,100000,-0.039,4.268,0.000
0.5,70,permutation_random,0.7,2000000,-1.968,-0.659,0.199
0.5,70,permutation_random,0.8,100000,-0.660,2.452,0.000
0.5,70,permutation_random,0.8,2000000,-0.982,1.894,0.340
0.5,70,permutation_random,0.9,100000,-0.766,-0.374,0.000
0.5,70,permutation_random,0.9,2000000,-0.620,0.211,0.501
1,0,tornado,0.25,100000,0.308,0.221,0.000
1,0,tornado,0.25,2000000,7.297,12.450,1.742
1,0,tornado,0.5,100000,1.248,2.837,0.000
1,0,tornado,0.5,2000000,17.561,21.432,4.595
1,0,tornado,0.75,100000,1.616,3.536,0.000
1,0,tornado,0.75,2000000,6.799,-11.897,4.772
1,0,tornado,1.0,100000,1.266,3.528,0.000
1,0,tornado,1.0,2000000,-2.726,-9.265,4.854
1,0,permutation_random,0.6,100000,0.559,1.139,0.000
1,0,permutation_random,0.6,2000000,-3.372,-3.792,0.027
1,0,permutation_random,0.7,100000,1.438,3.818,0.000
1,0,permutation_random,0.7,2000000,-4.223,-5.341,0.171
1,0,permutation_random,0.8,100000,1.305,3.250,0.000
1,0,permutation_random,0.8,2000000,-3.688,-5.030,0.310
1,0,permutation_random,0.9,100000,1.662,2.309,0.000
1,0,permutation_random,0.9,2000000,-2.750,-4.828,0.497
1,20,tornado,0.25,100000,0.308,0.221,0.000
1,20,tornado,0.25,2000000,4.006,4.469,0.787
1,20,tornado,0.5,100000,1.248,2.837,0.000
1,20,tornado,0.5,2000000,11.357,15.338,3.448
1,20,tornado,0.75,100000,1.616,3.536,0.000
1,20,tornado,0.75,2000000,3.664,-13.688,3.789
1,20,tornado,1.0,100000,1.266,3.528,0.000
1,20,tornado,1.0,2000000,-4.337,-5.822,3.867
1,20,permutation_random,0.6,100000,0.983,2.499,0.000
1,20,permutation_random,0.6,2000000,-5.353,-5.129,0.012
1,20,permutation_random,0.7,100000,1.434,3.433,0.000
1,20,permutation_random,0.7,2000000,-4.135,-5.333,0.180
