sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct,rtx_rate_pct,nack_rate_pct,ref_rtx_rate_pct,ref_nack_rate_pct
threshold,0.2,tornado,0.25,500000,72.54,87.04,31.07268422523101,49.14153664968264,11.864,11.864,0.000,0.000
threshold,0.2,tornado,0.5,500000,95.93,114.69,51.74832750786126,60.44120842686833,23.861,23.861,0.000,0.000
threshold,0.2,tornado,0.75,500000,108.09,125.85,31.59941224286793,40.912451680638554,26.745,26.745,0.279,0.279
threshold,0.2,tornado,1.0,500000,121.06,142.98,23.035086785964246,37.77860577463566,28.352,28.352,2.340,2.340
threshold,0.35,permutation,0.6,500000,88.30,105.37,26.40014529080872,37.15719487263148,18.763,18.763,0.020,0.020
threshold,0.35,permutation,0.7,500000,96.22,113.94,24.58291091232056,34.36600075001121,21.694,21.694,0.206,0.206
threshold,0.35,permutation,0.8,500000,103.66,120.78,22.633963049666608,32.331806841784065,23.849,23.849,0.749,0.749
threshold,0.35,permutation,0.9,500000,110.92,130.89,21.953907233165992,33.97862677306991,25.462,25.462,1.499,1.499
threshold,0.35,tornado,0.25,500000,75.65,90.51,36.70218606737788,55.08832511547174,13.938,13.938,0.000,0.000
threshold,0.35,tornado,0.5,500000,101.39,123.70,60.38090325332235,73.0470968638463,25.681,25.681,0.000,0.000
threshold,0.35,tornado,0.75,500000,114.86,136.98,39.84595476250014,53.380591786912234,28.767,28.767,0.279,0.279
threshold,0.35,tornado,1.0,500000,128.90,173.41,31.002627057216646,67.10532655375218,30.579,30.579,2.340,2.340
threshold,0.5,permutation,0.6,500000,89.62,109.25,28.30034940049206,42.20707321390763,19.413,19.413,0.020,0.020
threshold,0.5,permutation,0.7,500000,98.05,118.65,26.95254256074898,39.919935910992386,22.435,22.435,0.206,0.206
threshold,0.5,permutation,0.8,500000,105.75,126.00,25.10945430470078,38.057702330130496,24.699,24.699,0.749,0.749
threshold,0.5,permutation,0.9,500000,113.30,134.95,24.565860474585747,38.13064616121602,26.349,26.349,1.499,1.499
threshold,0.5,tornado,0.25,500000,77.26,91.95,39.597176348463584,57.553398013891446,14.783,14.783,0.000,0.000
threshold,0.5,tornado,0.5,500000,108.05,133.96,70.91454409814052,87.39886797415123,27.483,27.483,0.000,0.000
threshold,0.5,tornado,0.75,500000,127.07,162.83,54.70845322745783,82.32238237545576,31.353,31.353,0.279,0.279
threshold,0.5,tornado,1.0,500000,149.18,191.76,51.62039570089181,84.78191740517207,33.548,33.548,2.340,2.340
