threshold_frac,threshold_bytes,pattern,load,fs,seed,mean,p99,rtx_pct
0.5,103750,tornado,0.5,100000,2,30.306823272727335,39.3896,0.0
0.5,103750,tornado,0.5,100000,3,30.42530109090913,39.2336,0.0
0.75,155625,tornado,0.5,100000,1,34.19184890909086,45.7016,0.1890909090909091
0.75,155625,tornado,0.5,100000,2,33.88164563636359,43.8896,0.0
0.75,155625,tornado,0.5,100000,3,33.842215999999986,43.7176,0.0
0.9,186750,tornado,0.5,100000,1,36.82566836363641,49.2016,0.41454545454545455
0.9,186750,tornado,0.5,100000,2,36.50663636363641,48.885,0.11636363636363636
0.9,186750,tornado,0.5,100000,3,36.32017581818185,48.8952,0.2109090909090909
0.1,20750,tornado,0.5,500000,1,70.63896581818182,154.809,2.8869179600886916
0.1,20750,tornado,0.5,500000,2,70.2024214545455,125.031,2.984478935698448
0.1,20750,tornado,0.5,500000,3,70.5692801818182,132.198,3.351071692535107
0.25,51875,tornado,0.5,500000,1,72.72237,164.068,2.620842572062084
0.25,51875,tornado,0.5,500000,2,71.61247654545464,128.566,2.248337028824834
0.25,51875,tornado,0.5,500000,3,72.3548705454546,135.82,2.564671101256467
0.5,103750,tornado,0.5,500000,1,77.83216290909083,173.641,2.3562453806356247
0.5,103750,tornado,0.5,500000,2,77.11235836363632,141.405,1.8373983739837398
0.5,103750,tornado,0.5,500000,3,77.51714763636359,145.497,2.2675535846267554
0.75,155625,tornado,0.5,500000,1,84.14354109090912,179.606,2.057649667405765
0.75,155625,tornado,0.5,500000,2,83.24717290909088,145.527,1.4693274205469327
0.75,155625,tornado,0.5,500000,3,83.38285254545454,148.594,1.7738359201773837
0.9,186750,tornado,0.5,500000,1,88.21061454545455,177.619,2.0103473762010347
0.9,186750,tornado,0.5,500000,2,87.40292436363646,150.123,1.238728750923873
0.9,186750,tornado,0.5,500000,3,87.76453018181817,167.296,1.7028824833702882
0.1,20750,tornado,0.5,2000000,1,241.51727272727263,603.204,0.9298701298701298
0.1,20750,tornado,0.5,2000000,2,239.59435090909093,536.564,0.9721706864564007
0.1,20750,tornado,0.5,2000000,3,239.30452181818174,504.317,1.051948051948052
0.25,51875,tornado,0.5,2000000,1,248.99246727272737,635.66,0.8174397031539888
0.25,51875,tornado,0.5,2000000,2,247.33284727272715,531.023,0.7413729128014842
0.25,51875,tornado,0.5,2000000,3,247.5316309090909,523.215,0.8545454545454545
