pattern,nodes,size,strat_label,strat,load_balancing_algo,load_fraction,flowsize,seed,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,500000,3,2048,1001.7361697265626,995.471,1676.62,1790.8,57.0562,251904,100971,0,0,240370,100971,0,0,40.0831269054878,0.0,40.0831269054878,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,500000,4,2048,995.7344848144512,999.593,1407.66,1477.98,68.3542,251904,100865,0,0,240488,100865,0,0,40.041047383130085,0.0,40.041047383130085,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,500000,4,2048,997.804193017579,1003.48,1407.49,1482.43,57.5147,251904,100723,0,0,239908,100723,0,0,39.984676702235774,0.0,39.984676702235774,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,500000,5,2048,985.8425260253903,991.314,1444.05,1536.91,61.9773,251904,100516,0,0,240369,100516,0,0,39.90250254065041,0.0,39.90250254065041,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,500000,5,2048,987.1482023925772,993.422,1441.18,1515.91,57.9022,251904,100392,0,0,239461,100392,0,0,39.85327743902439,0.0,39.85327743902439,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,2000000,1,2048,3909.5254921874966,3935.14,5964.13,6284.23,212.495,1003520,101390,0,0,981086,101390,0,0,10.103435905612244,0.0,10.103435905612244,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,2000000,1,2048,3922.408501953126,3941.32,5986.75,6286.41,181.6,1003520,101215,1,0,975280,101214,0,0,10.085997289540817,9.964923469387755e-05,10.085897640306122,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,2000000,2,2048,3887.090823730464,3899.91,5770.09,6104.8,212.565,1003520,101317,0,0,979279,101317,0,0,10.096161511479592,0.0,10.096161511479592,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,2000000,2,2048,3896.0185307617153,3915.93,5931.28,6111.32,180.885,1003520,101140,0,0,976123,101140,0,0,10.078523596938776,0.0,10.078523596938776,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,2000000,3,2048,3952.1350693359323,3927.74,6701.05,6930.7,211.452,1003520,101786,0,0,981643,101786,0,0,10.14289700255102,0.0,10.14289700255102,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,2000000,3,2048,3950.4777421874946,3932.96,6661.99,6920.51,180.971,1003520,101679,0,0,977450,101679,0,0,10.132234534438776,0.0,10.132234534438776,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,2000000,4,2048,3917.0467680664046,3938.66,5616.38,5811.6,210.019,1003520,101424,0,0,980816,101424,0,0,10.106823979591837,0.0,10.106823979591837,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,2000000,4,2048,3922.894348632818,3953.96,5610.06,5799.43,179.931,1003520,101171,0,0,976051,101171,0,0,10.081612723214286,0.0,10.081612723214286,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,2000000,5,2048,3876.7560947265583,3942.55,5722.86,5966.11,187.124,1003520,100939,0,0,978266,100939,0,0,10.058494100765307,0.0,10.058494100765307,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,2000000,5,2048,3873.6557680664077,3942.93,5727.99,5953.43,181.986,1003520,100791,0,0,973944,100791,0,0,10.043746014030612,0.0,10.043746014030612,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,10000000,1,2048,20153.567421875072,20356.9,30550.7,31208.5,1051.01,5013504,104988,1,0,4958640,104987,0,0,2.094104243259804,1.9946129493464053e-05,2.0940842971303106,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,10000000,1,2048,20198.64410449219,20396.3,30615.7,31235.9,840.253,5013504,104583,0,0,4931650,104583,0,0,2.086026060814951,0.0,2.086026060814951,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,10000000,2,2048,20048.51884960934,20133.2,29620.3,30386.1,954.336,5013504,104661,0,0,4954439,104661,0,0,2.087581858915441,0.0,2.087581858915441,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,10000000,2,2048,20063.695748535156,20046.3,29677.4,30429.0,839.924,5013504,104460,0,0,4930833,104460,0,0,2.083572686887255,0.0,2.083572686887255,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,10000000,3,2048,20322.512148437512,20237.4,33995.3,34466.8,963.68,5013504,106633,0,0,4960431,106633,0,0,2.1269156262765523,0.0,2.1269156262765523,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,10000000,3,2048,20331.293141113238,20243.5,33831.8,34453.4,836.928,5013504,105783,0,0,4937570,105783,0,0,2.1099614162071076,0.0,2.1099614162071076,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,10000000,4,2048,20169.64533691405,20408.0,28120.6,28869.5,1010.84,5013504,104476,0,0,4961596,104476,0,0,2.0838918249591503,0.0,2.0838918249591503,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,10000000,4,2048,20192.67041015625,20463.0,28182.6,28867.9,839.285,5013504,104994,0,0,4931713,104994,0,0,2.0942239200367645,0.0,2.0942239200367645,0.0
tornado,8192,l,fpar,fpar,oblivious,0.25,10000000,5,2048,19922.73321728517,20313.9,29067.0,29586.6,949.488,5013504,103962,0,0,4949061,103962,0,0,2.0736395143995097,0.0,2.0736395143995097,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.25,10000000,5,2048,19970.7522910156,20402.4,28951.7,29597.8,843.732,5013504,104028,0,0,4923075,104028,0,0,2.0749559589460786,0.0,2.0749559589460786,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,20000,1,4096,84.27848691406277,86.4971,116.671,123.824,21.5682,20480,34078,0,0,20380,34078,0,0,166.396484375,0.0,166.396484375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,20000,1,4096,84.2924981445312,86.5864,116.58,124.656,17.3282,20480,34045,0,0,20356,34045,0,0,166.2353515625,0.0,166.2353515625,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,20000,2,4096,84.15015651855467,86.3046,113.695,120.574,19.4371,20480,34222,0,0,20392,34222,0,0,167.099609375,0.0,167.099609375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,20000,2,4096,83.99420988769532,86.4606,114.467,119.865,17.0619,20480,34200,0,0,20354,34200,0,0,166.9921875,0.0,166.9921875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,20000,3,4096,84.14182788085941,86.4499,115.362,122.664,20.3717,20480,34238,0,0,20384,34238,0,0,167.177734375,0.0,167.177734375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,20000,3,4096,84.34479812011699,86.8459,116.112,123.963,17.3069,20480,34221,0,0,20365,34221,0,0,167.0947265625,0.0,167.0947265625,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,20000,4,4096,84.43724414062486,86.2866,116.502,129.762,20.6891,20480,34202,0,0,20375,34202,0,0,167.001953125,0.0,167.001953125,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,20000,4,4096,84.29317385253916,86.4163,117.399,125.891,17.2923,20480,34200,0,0,20362,34200,0,0,166.9921875,0.0,166.9921875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,20000,5,4096,83.80774404296905,86.1741,114.155,122.055,23.6786,20480,34040,0,0,20368,34040,0,0,166.2109375,0.0,166.2109375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,20000,5,4096,83.71382763671865,85.9861,115.61,122.155,17.0568,20480,34045,0,0,20349,34045,0,0,166.2353515625,0.0,166.2353515625,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,100000,1,4096,383.885094580077,405.565,527.161,558.63,32.5242,102400,204674,0,0,101659,204674,0,0,199.876953125,0.0,199.876953125,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,100000,1,4096,382.451542773437,402.023,525.648,561.88,24.4587,102400,204703,0,0,101549,204703,0,0,199.9052734375,0.0,199.9052734375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,100000,2,4096,381.6983187011719,402.756,511.766,531.827,33.3259,102400,204790,0,0,101653,204790,0,0,199.990234375,0.0,199.990234375,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,100000,2,4096,381.84176459960895,402.531,513.154,534.189,24.5374,102400,204742,0,0,101549,204742,0,0,199.943359375,0.0,199.943359375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,100000,3,4096,383.37461765136703,406.077,525.814,552.407,31.9802,102400,205256,0,0,101747,205256,0,0,200.4453125,0.0,200.4453125,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,100000,3,4096,383.3143408447268,405.337,526.729,551.893,24.5008,102400,204971,0,0,101645,204971,0,0,200.1669921875,0.0,200.1669921875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,100000,4,4096,383.6235129150394,402.652,538.798,564.704,32.1496,102400,204714,0,0,101715,204714,0,0,199.916015625,0.0,199.916015625,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,100000,4,4096,383.94590803222667,402.77,540.021,565.814,24.5603,102400,204555,0,0,101598,204555,0,0,199.7607421875,0.0,199.7607421875,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,100000,5,4096,380.9985963134778,403.374,517.581,545.543,32.5954,102400,204217,0,0,101587,204217,0,0,199.4306640625,0.0,199.4306640625,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,100000,5,4096,380.90723337402386,404.352,518.807,540.274,24.2874,102400,204183,0,0,101494,204183,0,0,199.3974609375,0.0,199.3974609375,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,500000,1,4096,1959.7173367187452,1990.93,2503.85,2613.69,61.1566,503808,220653,0,0,491023,220652,0,0,43.797041730182926,0.0,43.796843241869915,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,500000,1,4096,1958.3388363037147,1989.3,2500.6,2617.54,58.5538,503808,220828,0,0,490378,220825,0,0,43.83177718495935,0.0,43.831181720020325,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,500000,2,4096,1950.2229844970677,1980.81,2400.91,2485.89,60.8379,503808,220569,0,0,490920,220567,0,0,43.78036871189025,0.0,43.779971735264226,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,500000,2,4096,1951.7098752685556,1984.92,2402.39,2496.63,59.1192,503808,220572,0,0,490250,220571,0,0,43.780964176829265,0.0,43.78076568851626,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,500000,3,4096,1959.6662921630884,1995.22,2482.14,2560.05,61.7488,503808,220982,0,0,492158,220980,0,0,43.8623443851626,0.0,43.86194740853659,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,500000,3,4096,1956.9366370605521,1992.89,2476.38,2555.45,58.5989,503808,220937,0,0,490842,220934,0,0,43.85341241107724,0.0,43.85281694613821,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,500000,4,4096,1959.5743624023441,1990.93,2548.09,2606.96,61.0211,503808,220739,0,0,491336,220736,0,0,43.814111725101625,0.0,43.8135162601626,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,500000,4,4096,1961.607233105468,1989.84,2547.48,2611.15,59.072,503808,220712,0,0,490604,220711,0,0,43.80875254065041,0.0,43.8085540523374,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,500000,5,4096,1946.1913625488253,1972.41,2418.49,2523.72,61.739,503808,220154,0,0,490926,220154,0,0,43.69799606199187,0.0,43.69799606199187,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,500000,5,4096,1945.1214177246084,1969.22,2414.61,2531.88,59.3154,503808,220332,0,0,490829,220330,0,0,43.733326981707314,0.0,43.7329300050813,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,2000000,1,4096,7931.048116210938,8076.06,10059.4,10294.3,186.769,2007040,232867,0,0,1980651,232867,0,0,11.602509167729592,0.0,11.602509167729592,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,2000000,1,4096,7933.702787109372,8081.15,10024.2,10270.2,184.15,2007040,232431,0,0,1976049,232428,0,0,11.580785634566327,0.0,11.580636160714286,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,2000000,2,4096,7896.873548828109,8034.77,9573.32,9763.87,187.208,2007040,232330,0,0,1980057,232330,0,0,11.575753348214286,0.0,11.575753348214286,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,2000000,2,4096,7904.234615966786,8028.53,9563.08,9758.31,184.493,2007040,232871,1,0,1976189,232869,0,0,11.60270846619898,4.982461734693878e-05,11.602608816964286,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,2000000,3,4096,7924.835678710934,8069.76,9838.9,10078.8,195.297,2007040,233840,0,0,1982311,233839,0,0,11.650988520408163,0.0,11.650938695790817,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,2000000,3,4096,7939.907183349597,8070.66,9857.44,10098.0,183.84,2007040,233208,0,0,1978374,233203,0,0,11.619499362244898,0.0,11.619250239158163,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,2000000,4,4096,7943.40773510742,8080.17,10138.5,10254.6,196.65,2007040,233288,0,0,1982172,233287,0,0,11.623485331632653,0.0,11.623435507015307,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,2000000,4,4096,7940.772931152323,8063.57,10148.1,10262.6,184.194,2007040,233331,0,0,1977359,233328,0,0,11.625627790178571,0.0,11.62547831632653,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,2000000,5,4096,7886.285973632799,7986.82,9584.33,9932.75,199.877,2007040,233904,0,0,1979111,233901,0,0,11.654177295918368,0.0,11.654027822066327,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,2000000,5,4096,7889.858086181637,7986.55,9597.5,9940.26,185.404,2007040,232544,0,0,1975640,232542,0,0,11.58641581632653,0.0,11.586316167091837,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,10000000,1,4096,40360.1270632325,41124.4,50572.5,51110.9,888.568,10027008,328335,0,0,9957744,328335,0,0,3.2745062136182597,0.0,3.2745062136182597,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,10000000,1,4096,40405.24026123056,41159.4,50517.7,51094.4,855.283,10027008,331507,0,0,9922437,331504,0,0,3.3061407749948937,0.0,3.306110855800654,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,10000000,2,4096,40204.45732568361,40962.7,47797.2,48594.3,900.559,10027008,333243,0,0,9951509,333243,0,0,3.3234540153952206,0.0,3.3234540153952206,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,10000000,2,4096,40246.33797290041,41012.8,47816.8,48583.0,852.979,10027008,331172,0,0,9921220,331172,0,0,3.3027997983047386,0.0,3.3027997983047386,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,10000000,3,4096,40392.34094433599,41013.9,49510.8,50209.0,948.228,10027008,332517,0,0,9964791,332516,0,0,3.316213570389093,0.0,3.316203597324346,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,10000000,3,4096,40423.18053393555,41031.7,49568.5,50198.8,856.543,10027008,337322,1,0,9930181,337319,0,0,3.3641341464971406,9.973064746732026e-06,3.3641042273029003,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,10000000,4,4096,40375.71076757817,40963.3,50821.2,51072.2,943.042,10027008,332071,0,0,9957486,332070,0,0,3.3117655835120505,0.0,3.311755610447304,0.0
tornado,8192,l,reps_dfp,reps_dfp,reps,0.5,10000000,4,4096,40436.129652099546,41031.5,50828.9,51059.9,853.721,10027008,332057,0,0,9928403,332056,0,0,3.311625960605596,0.0,3.3116159875408497,0.0
tornado,8192,l,fpar,fpar,oblivious,0.5,10000000,5,4096,40128.263318847676,40460.5,48838.2,49473.5,961.56,10027008,331234,0,0,9954402,331231,0,0,3.303418128319036,0.0,3.3033882091247957,0.0
