pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,duration_s,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,500000,3,58.08,1100,389.64958363636384,386.236,714.477,2935.15,68.4674,135300,44967,32,0,123976,44070,0,0,33.2350332594235,0.023651145602365115,32.572062084257205,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,500000,3,64.51,1100,381.9194229090911,374.599,706.721,1221.49,67.1611,135300,46963,26,0,124542,46090,0,0,34.71027346637103,0.019216555801921657,34.0650406504065,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,500000,3,3.74,1100,407.7486213636362,403.846,710.167,784.7,92.4296,135300,48074,0,0,128168,48074,0,0,35.53141167775314,0.0,35.53141167775314,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,500000,4,39.02,1100,405.2926806363636,409.107,674.115,1482.97,62.8392,135300,40701,121,0,105901,39996,0,0,30.082039911308204,0.08943089430894309,29.5609756097561,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,500000,4,67.9,1100,443.9843146363637,407.127,679.917,27300.1,67.6938,135300,43495,278,0,111070,42175,0,0,32.14708056171471,0.20546932742054694,31.171470805617147,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,500000,4,45.56,1100,393.76180009090945,390.738,672.825,2761.6,66.1763,135300,44149,43,0,117050,43366,0,0,32.63045084996305,0.031781226903178125,32.051736881005176,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,500000,4,50.57,1100,383.6090588181817,389.913,651.192,3699.19,66.6016,135300,44952,35,0,124197,44129,0,0,33.2239467849224,0.025868440502586843,32.61566888396157,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,500000,4,49.73,1100,376.09424918181804,370.906,645.637,2598.5,68.4576,135300,46991,25,0,124785,46216,0,0,34.7309682187731,0.018477457501847747,34.158167036215815,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,500000,4,3.31,1100,410.3562916363634,422.031,730.602,809.514,92.3989,135300,48004,0,0,127811,48004,0,0,35.479674796747965,0.0,35.479674796747965,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,500000,5,38.2,1100,412.1089923636362,414.977,732.07,1900.96,68.865,135300,40744,130,0,106858,40014,0,0,30.11382113821138,0.09608277900960828,29.574279379157428,0.0
