sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct
warmup_rtts,0,permutation,0.7,500000,93.69,109.81,21.305562678185552,29.49328645632286
warmup_rtts,0,permutation,0.8,500000,101.03,117.27,19.517210437416427,28.48386482971506
warmup_rtts,0,permutation,0.9,500000,107.99,125.59,18.72888792463301,28.55257990564555
warmup_rtts,0,tornado,0.25,500000,72.54,87.04,31.07268422523101,49.14153664968264
warmup_rtts,0,tornado,0.5,500000,95.93,114.69,51.74832750786126,60.44120842686833
warmup_rtts,0,tornado,0.75,500000,108.09,125.85,31.59941224286793,40.912451680638554
warmup_rtts,0,tornado,1.0,500000,121.06,142.98,23.035086785964246,37.77860577463566
warmup_rtts,0.5,permutation,0.6,500000,79.89,92.42,14.36533675035794,20.300649772128526
warmup_rtts,0.5,permutation,0.7,500000,87.20,98.40,12.902550147564776,16.040491170858676
warmup_rtts,0.5,permutation,0.8,500000,92.95,106.45,9.966585304994041,16.629237858402607
warmup_rtts,0.5,permutation,0.9,500000,98.26,111.22,8.028140570377714,13.842236911107758
warmup_rtts,0.5,tornado,0.25,500000,67.36,76.20,21.70851482799723,30.56884584213139
warmup_rtts,0.5,tornado,0.5,500000,84.76,97.82,34.081560832315375,36.83919693127546
warmup_rtts,0.5,tornado,0.75,500000,96.54,110.09,17.539361447419648,23.27096277435712
warmup_rtts,0.5,tornado,1.0,500000,107.73,123.48,9.491882475367285,18.989037250222438
warmup_rtts,1,permutation,0.6,500000,74.84,82.55,7.135004498891184,7.447475017441797
warmup_rtts,1,permutation,0.7,500000,79.80,88.95,3.331187088354461,4.894805818640375
warmup_rtts,1,permutation,0.8,500000,85.64,94.80,1.318743125074471,3.8635368415978064
warmup_rtts,1,permutation,0.9,500000,91.32,100.06,0.3977036774773026,2.4253266017551827
warmup_rtts,1,tornado,0.25,500000,65.09,72.26,17.614719338979633,23.81114206096315
warmup_rtts,1,tornado,0.5,500000,76.72,85.83,21.367566220438942,20.06496698024784
warmup_rtts,1,tornado,0.75,500000,85.16,93.76,3.6886066163599085,4.986882811948903
warmup_rtts,1,tornado,1.0,500000,98.12,106.77,-0.27241996330553114,2.889245070295864
warmup_rtts,2,permutation,0.6,500000,78.04,84.13,11.723234833568323,9.50473965727297
warmup_rtts,2,permutation,0.7,500000,82.60,87.76,6.95212745032732,3.4901071635504084
warmup_rtts,2,permutation,0.8,500000,85.98,91.93,1.7162202387812726,0.7184943356438253
warmup_rtts,2,permutation,0.9,500000,89.59,96.06,-1.503560763470524,-1.67807229474731
warmup_rtts,2,tornado,0.25,500000,66.45,69.53,20.07775074464899,19.14332434156679
warmup_rtts,2,tornado,0.5,500000,74.01,80.78,17.074349340406627,13.007758545918483
warmup_rtts,2,tornado,0.75,500000,81.45,89.20,-0.8335335762115705,-0.12742091337728984
warmup_rtts,2,tornado,1.0,500000,96.09,104.12,-2.3408113788153884,0.3292358195723486
warmup_rtts,4,permutation,0.6,500000,73.89,81.61,5.781479831553687,6.228935338648598
warmup_rtts,4,permutation,0.7,500000,78.68,84.81,1.877720417863311,0.015644887777411617
warmup_rtts,4,permutation,0.8,500000,82.59,90.29,-2.2992166480804523,-1.0708571349266862
warmup_rtts,4,permutation,0.9,500000,92.20,100.10,1.3706000931450724,2.461118107533525
warmup_rtts,4,tornado,0.25,500000,55.47,59.07,0.23622177777738285,1.2099761203202213
warmup_rtts,4,tornado,0.5,500000,67.87,79.44,7.358736374792124,11.129069412825702
warmup_rtts,4,tornado,0.75,500000,81.36,89.45,-0.9398520357278491,0.1613848943888255
warmup_rtts,4,tornado,1.0,500000,99.19,108.17,0.812681940167232,4.2376665049931415
warmup_rtts,8,permutation,0.6,500000,74.34,84.22,6.4218557656646205,9.621755911989197
warmup_rtts,8,permutation,0.7,500000,81.39,89.12,5.390189654343182,5.091664105045596
warmup_rtts,8,permutation,0.8,500000,87.98,96.35,4.086653146065076,5.563081085443959
warmup_rtts,8,permutation,0.9,500000,95.06,102.55,4.516621711675894,4.96430573520496
warmup_rtts,8,tornado,0.25,500000,55.47,59.07,0.23622177777738285,1.2099761203202213
warmup_rtts,8,tornado,0.5,500000,67.88,79.37,7.382903173971752,11.039863388411325
warmup_rtts,8,tornado,0.75,500000,85.94,93.76,4.637637508674298,4.984979336090016
warmup_rtts,8,tornado,1.0,500000,103.39,110.61,5.081469616352457,6.589213270933771
