pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,n_flows,duration_us,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,500000,2,275,97.9416,63.45216181818178,55.0328,96.2238,97.9416,51.9834,33825,561,0,0,14058,561,0,0,1.6585365853658536,0.0,1.6585365853658536,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,2,275,60.1787,55.420397090909134,55.1896,59.2574,60.1787,54.3074,33825,0,0,0,8924,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,2,275,59.9514,55.91346763636364,55.6354,59.2874,59.9514,53.7498,33825,0,0,0,9019,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,3,275,128.046,68.63939527272727,63.2714,120.012,128.046,53.669,33825,172,0,0,19601,172,0,0,0.50849963045085,0.0,0.50849963045085,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,500000,3,275,113.787,60.97888218181815,54.6394,98.3234,113.787,53.6434,33825,442,0,0,12384,442,0,0,1.3067257945306725,0.0,1.3067257945306725,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,3,275,58.5642,55.32714909090912,55.0994,57.9346,58.5642,53.9794,33825,0,0,0,8923,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,reps_partition,reps_dfp,reps,-reps_partition_entropy -reps_escalate_threshold 0.2 -reps_warmup_explore_rtts 1.0 -reps_explore_prob 70,0.25,500000,3,275,60.551,55.524472363636384,55.1827,60.219,60.551,53.9754,33825,0,0,0,8976,0,0,0,0.0,0.0,0.0,0.0
tornado,1100,m,fpar,fpar,oblivious,,0.25,500000,4,275,143.419,71.2174290909091,62.9394,135.097,143.419,51.9834,33825,516,0,0,19757,516,0,0,1.5254988913525498,0.0,1.5254988913525498,0.0
tornado,1100,m,fpar_tuned,fpar,oblivious,-threshold 20750,0.25,500000,4,275,138.862,64.90935709090908,54.6434,133.65,138.862,51.9834,33825,836,0,0,13755,836,0,0,2.4715447154471546,0.0,2.4715447154471546,0.0
tornado,1100,m,reps_no_partition,reps_dfp,reps,,0.25,500000,4,275,59.2682,55.463085090909104,55.3034,58.9878,59.2682,53.9874,33825,0,0,0,8950,0,0,0,0.0,0.0,0.0,0.0
