paths,pattern,load,fs,seed,mean,p99,rtx_pct
64,tornado,0.5,2000000,2,211.76212181818175,235.412,2.2189239332096475
64,tornado,0.5,2000000,3,212.54858181818196,229.849,2.1873840445269015
128,tornado,0.5,2000000,1,208.25264909090905,223.499,2.2233766233766232
128,tornado,0.5,2000000,2,207.77198727272722,230.389,2.2456400742115026
128,tornado,0.5,2000000,3,208.46821636363643,224.58,2.2968460111317253
256,tornado,0.5,2000000,1,206.45557818181814,225.071,2.2912801484230054
256,tornado,0.5,2000000,2,206.13679999999985,227.049,2.2801484230055657
256,tornado,0.5,2000000,3,205.57532363636366,223.856,2.272356215213358
8,tornado,0.75,2000000,1,303.83540363636354,513.233,3.0567717996289425
8,tornado,0.75,2000000,2,301.15760969696964,500.939,3.0688930117501547
8,tornado,0.75,2000000,3,300.7903830303028,503.764,3.1146567717996287
16,tornado,0.75,2000000,1,282.45540363636366,443.761,3.079777365491651
16,tornado,0.75,2000000,2,281.061195151515,423.05,2.9692022263450837
16,tornado,0.75,2000000,3,280.40210424242434,425.189,3.057761286332715
32,tornado,0.75,2000000,1,270.6801781818181,352.039,2.904143475572047
32,tornado,0.75,2000000,2,269.6269672727274,349.93,2.8930117501546073
32,tornado,0.75,2000000,3,271.25213575757584,366.765,2.8776747062461348
64,tornado,0.75,2000000,1,265.3264848484848,324.975,2.80717377860235
64,tornado,0.75,2000000,2,264.2693078787877,311.915,2.818800247371676
64,tornado,0.75,2000000,3,265.70596242424233,322.455,2.8484848484848486
128,tornado,0.75,2000000,1,261.8262012121213,299.474,2.7181199752628324
128,tornado,0.75,2000000,2,260.9598496969701,291.697,2.7282622139764996
128,tornado,0.75,2000000,3,261.50336121212115,290.925,2.742362399505257
256,tornado,0.75,2000000,1,258.8101599999999,288.103,2.6345083487940633
256,tornado,0.75,2000000,2,258.7824206060607,284.566,2.695114409400124
256,tornado,0.75,2000000,3,259.09515393939364,288.152,2.6871985157699445
8,tornado,1.0,2000000,1,361.7617263636362,610.65,3.658256029684601
8,tornado,1.0,2000000,2,360.487490909091,595.779,3.6166975881261596
8,tornado,1.0,2000000,3,359.6702781818183,583.543,3.7335807050092766
16,tornado,1.0,2000000,1,341.94738454545455,537.697,3.3638218923933207
16,tornado,1.0,2000000,2,341.31697000000037,537.053,3.3816326530612244
16,tornado,1.0,2000000,3,339.6264427272726,528.842,3.405751391465677
32,tornado,1.0,2000000,1,330.8590400000002,482.607,3.1213358070500927
32,tornado,1.0,2000000,2,329.90734727272763,468.267,3.1426716141001854
32,tornado,1.0,2000000,3,330.34049090909116,501.664,3.1630797773654917
64,tornado,1.0,2000000,1,326.55137727272734,442.092,2.941743970315399
64,tornado,1.0,2000000,2,325.40842818181807,452.864,2.9846011131725416
64,tornado,1.0,2000000,3,326.4362127272732,455.167,2.921892393320965
128,tornado,1.0,2000000,1,323.46243818181813,435.334,2.8771799628942487
128,tornado,1.0,2000000,2,323.31913,434.714,2.840074211502783
128,tornado,1.0,2000000,3,322.5053381818181,428.223,2.881447124304267
256,tornado,1.0,2000000,1,321.7576172727274,409.725,2.832282003710575
256,tornado,1.0,2000000,2,321.0578281818178,413.394,2.805009276437848
256,tornado,1.0,2000000,3,321.5658363636368,413.845,2.815027829313544
8,permutation,0.6,2000000,1,269.5032181818183,429.029,1.7312925170068028
8,permutation,0.6,2000000,2,265.11468787878783,435.284,1.6963512677798391
8,permutation,0.6,2000000,3,268.08377121212095,447.972,1.7520098948670377
16,permutation,0.6,2000000,1,245.38138787878768,371.139,1.5275200989486704
16,permutation,0.6,2000000,2,243.26797272727268,364.982,1.5238095238095237
16,permutation,0.6,2000000,3,242.71430151515193,331.829,1.6567717996289424
32,permutation,0.6,2000000,1,235.5576136363638,304.197,1.4656771799628943
32,permutation,0.6,2000000,2,234.36050454545466,297.842,1.438157081014224
32,permutation,0.6,2000000,3,233.7579530303029,312.362,1.2173778602350032
64,permutation,0.6,2000000,1,226.4682045454545,260.353,1.1094619666048238
64,permutation,0.6,2000000,2,226.41068636363653,269.36,1.1017316017316017
64,permutation,0.6,2000000,3,226.49465303030303,270.368,1.059678416821274
128,permutation,0.6,2000000,1,221.30911969696945,239.971,1.0630797773654916
128,permutation,0.6,2000000,2,222.7738575757577,254.441,0.9913419913419913
128,permutation,0.6,2000000,3,222.95126060606043,244.031,0.9700061842918986
256,permutation,0.6,2000000,1,219.91072575757562,238.551,0.9826839826839827
256,permutation,0.6,2000000,2,220.0083575757578,239.088,0.9907235621521335
256,permutation,0.6,2000000,3,218.93455606060607,236.15,0.9335188620902907
8,permutation,0.7,2000000,1,292.008035064935,485.535,2.1576994434137293
8,permutation,0.7,2000000,2,286.96747012987043,472.938,2.2107076596872517
8,permutation,0.7,2000000,3,290.7247337662337,482.814,2.1486880466472305
16,permutation,0.7,2000000,1,269.077255844156,405.362,1.9764113437582824
16,permutation,0.7,2000000,2,266.7450571428573,396.779,1.8992843890803075
16,permutation,0.7,2000000,3,265.56616233766255,376.584,2.1068115557911478
32,permutation,0.7,2000000,1,257.78156883116884,350.461,1.7773654916512058
32,permutation,0.7,2000000,2,255.13225064935088,342.786,1.8335542009011396
32,permutation,0.7,2000000,3,255.54539610389597,342.887,1.721971905645375
64,permutation,0.7,2000000,1,248.64151948051926,320.979,1.670023853697323
64,permutation,0.7,2000000,2,248.5549688311688,316.69,1.6681685661277499
64,permutation,0.7,2000000,3,249.68216623376637,319.385,1.665253114232706
128,permutation,0.7,2000000,1,245.35380519480492,291.617,1.6437847866419295
128,permutation,0.7,2000000,2,245.88984675324656,295.175,1.6204611714815798
128,permutation,0.7,2000000,3,245.36754545454548,292.249,1.5833554200901139
256,permutation,0.7,2000000,1,243.14300649350642,286.292,1.5303472038165915
256,permutation,0.7,2000000,2,242.83926623376598,281.227,1.5237211767824013
256,permutation,0.7,2000000,3,242.52645454545473,278.091,1.5714285714285714
8,permutation,0.8,2000000,1,318.02935568181823,517.06,2.5969387755102042
8,permutation,0.8,2000000,2,313.3197329545454,523.696,2.5192486085343226
8,permutation,0.8,2000000,3,313.83112159090933,520.439,2.5092764378478662
16,permutation,0.8,2000000,1,292.14782045454507,443.573,2.3193413729128016
16,permutation,0.8,2000000,2,289.9099602272728,451.143,2.353896103896104
16,permutation,0.8,2000000,3,288.6111806818185,439.317,2.4060760667903525
32,permutation,0.8,2000000,1,282.0160249999999,387.352,2.1231447124304266
32,permutation,0.8,2000000,2,279.29567386363664,395.179,2.2163729128014844
32,permutation,0.8,2000000,3,280.04673636363657,396.851,2.136595547309833
