paths,pattern,load,fs,seed,mean,p99,rtx_pct
16,permutation,0.7,2000000,3,257.74402467532485,380.06,0.9061754571958653
32,permutation,0.7,2000000,1,253.75267922077924,370.46,0.6191359660747416
32,permutation,0.7,2000000,2,250.29773246753263,346.302,0.48529021998409755
32,permutation,0.7,2000000,3,250.19465324675326,338.435,0.5043731778425656
64,permutation,0.7,2000000,1,245.47758961038986,332.353,0.2499337397296581
64,permutation,0.7,2000000,2,243.9635623376623,320.857,0.23562152133580705
64,permutation,0.7,2000000,3,245.0057805194808,318.83,0.30294195600318047
128,permutation,0.7,2000000,1,241.78829740259744,315.322,0.10601643254704479
128,permutation,0.7,2000000,2,241.4151376623375,308.406,0.11820832228995494
128,permutation,0.7,2000000,3,241.71271298701282,310.88,0.15610919692552347
256,permutation,0.7,2000000,1,241.09607792207817,307.375,0.10734163795388285
256,permutation,0.7,2000000,2,240.45892857142843,319.036,0.09488470712960509
256,permutation,0.7,2000000,3,239.96133636363618,300.836,0.084018022793533
8,permutation,0.8,2000000,1,300.4883477272729,446.577,1.5660946196660481
8,permutation,0.8,2000000,2,297.6727909090909,464.447,1.3411410018552876
8,permutation,0.8,2000000,3,296.75806477272704,448.604,1.5670222634508348
16,permutation,0.8,2000000,1,288.0076909090911,419.128,1.1036641929499071
16,permutation,0.8,2000000,2,284.9739124999995,412.94,0.9823747680890538
16,permutation,0.8,2000000,3,285.17229204545436,414.791,1.0830241187384044
32,permutation,0.8,2000000,1,281.55252840909105,388.294,0.823051948051948
32,permutation,0.8,2000000,2,277.97372272727284,378.997,0.6268552875695733
32,permutation,0.8,2000000,3,278.41506931818174,396.935,0.7309833024118738
64,permutation,0.8,2000000,1,274.75241363636337,374.106,0.4097866419294991
64,permutation,0.8,2000000,2,273.7518795454542,379.898,0.40584415584415584
64,permutation,0.8,2000000,3,273.5931215909086,368.691,0.4642857142857143
128,permutation,0.8,2000000,1,270.0526874999998,366.517,0.22866419294990722
128,permutation,0.8,2000000,2,270.42251818181836,369.584,0.2945269016697588
128,permutation,0.8,2000000,3,270.36521022727305,367.372,0.23562152133580705
256,permutation,0.8,2000000,1,269.29134090909076,359.969,0.18807977736549164
256,permutation,0.8,2000000,2,268.2630204545459,359.58,0.1695269016697588
256,permutation,0.8,2000000,3,267.47182045454576,358.241,0.14355287569573283
8,permutation,0.9,2000000,1,327.01106565656573,480.316,1.8138528138528138
8,permutation,0.9,2000000,2,325.43093838383817,499.915,1.7243867243867244
8,permutation,0.9,2000000,3,325.76484242424243,488.114,1.8433312719027004
16,permutation,0.9,2000000,1,315.9058707070706,460.196,1.471655328798186
16,permutation,0.9,2000000,2,314.12525353535347,459.244,1.2708719851576995
16,permutation,0.9,2000000,3,314.6182808080807,451.756,1.3615749330035045
32,permutation,0.9,2000000,1,311.1708838383844,421.77,1.0505050505050506
32,permutation,0.9,2000000,2,308.9104474747474,422.921,0.9033189033189033
32,permutation,0.9,2000000,3,309.73178686868704,417.409,0.9956709956709957
64,permutation,0.9,2000000,1,306.27238080808115,414.586,0.6491445062873634
64,permutation,0.9,2000000,2,304.3926606060604,396.08,0.5481344052772624
64,permutation,0.9,2000000,3,305.7780727272728,400.469,0.6256441970727685
128,permutation,0.9,2000000,1,302.06608989899007,392.488,0.44877344877344877
128,permutation,0.9,2000000,2,303.2315676767678,408.01,0.45392702535559676
128,permutation,0.9,2000000,3,303.9918151515153,399.776,0.46567717996289426
256,permutation,0.9,2000000,1,301.64045050505047,403.6,0.33230261801690375
256,permutation,0.9,2000000,2,301.42822323232303,398.764,0.35662749948464234
256,permutation,0.9,2000000,3,301.08346868686857,394.972,0.2904555761698619
